Earnings,surveys,asian,african am.,disabled,generic,man,white,woman
<16y or no pay,0.4683053010952216,0.0,0.0,0.0,0.0,0.0,0.0,0
"$1-$9,999",0.005245262803774173,0.0,0.0,0.255,0.0,0.0,0.0,0
"$10,000-$14,999",0.006508742776579411,0.0,0.0,0.015,0.0,0.0,0.0,0
"$15,000-$24,999",0.02206809858155333,0.0,0.0,0.295,0.0,0.0,0.0,0
"$25,000-$34,999",0.03764760556307255,0.0,0.0,0.415,0.0,0.0,0.0,0
"$35,000-$49,999",0.06699291736386989,0.0,0.01,0.02,0.0,0.0,0.0,0
"$50,000-$64,999",0.05316923432208079,0.945,0.99,0.0,0.895,0.215,0.13,1
"$65,000-$74,999",0.0284204245441932,0.055,0.0,0.0,0.0,0.0,0.01,0
"$75,000-$99,999",0.04818279590143482,0.0,0.0,0.0,0.105,0.785,0.86,0
">=$100,000",0.08190753179255757,0.0,0.0,0.0,0.0,0.0,0.0,0
