Life Satisfaction,surveys,asian,african am.,disabled,generic,man,white,woman
Don't know,0.03,0.0,0,0.0,0.0,0.0,0.0,0.0
0,0.04,0.0,0,0.0,0.0,0.0,0.0,0.0
1,0.02,0.0,0,0.0,0.0,0.0,0.0,0.0
2,0.04,0.0,0,0.0,0.0,0.0,0.0,0.0
3,0.06,0.0,0,0.02,0.0,0.0,0.0,0.0
4,0.07,0.0,0,0.765,0.0,0.0,0.0,0.0
5,0.13,0.0,0,0.075,0.0,0.0,0.0,0.0
6,0.11,0.0,0,0.14,0.0,0.0,0.0,0.0
7,0.17,0.615,1,0.0,0.6,0.805,0.545,0.41
8,0.16,0.385,0,0.0,0.4,0.195,0.455,0.59
9,0.08,0.0,0,0.0,0.0,0.0,0.0,0.0
10,0.09,0.0,0,0.0,0.0,0.0,0.0,0.0
