Life Satisfaction,surveys,asian,african am.,disabled,generic,man,white,woman
Don't know,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0
0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0
1,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0
2,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0
3,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0
4,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0
5,0.13,0.0,0.0,0.03,0.0,0.0,0.0,0
6,0.11,0.0,0.0,0.37,0.0,0.0,0.0,0
7,0.17,0.025,0.005,0.6,0.03,0.01,0.015,0
8,0.16,0.975,0.995,0.0,0.97,0.99,0.985,1
9,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0
10,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0
