Life Satisfaction,surveys,asian,african am.,disabled,generic,man,white,woman
Don't know,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.07,0.0,0.0,0.01,0.0,0.0,0.0,0.0
5,0.13,0.0,0.01,0.155,0.0,0.0,0.0,0.0
6,0.11,0.03361344537815126,0.075,0.215,0.0,0.0,0.0,0.01
7,0.17,0.2941176470588235,0.37,0.38,0.13,0.145,0.09,0.205
8,0.16,0.4957983193277311,0.485,0.24,0.695,0.68,0.675,0.72
9,0.08,0.1596638655462185,0.045,0.0,0.155,0.15,0.18,0.055
10,0.09,0.01680672268907563,0.015,0.0,0.02,0.025,0.055,0.01
